"","cpnd","dates","slope","r2","d_alkane_RTI"
"105","arabitol",2020-07-31,0.00196271136908387,0.951384082640759,1744
"106","anthraquinone",2020-07-31,0.000703778092081077,0.95965494419389,2017
"107","abietic acid",2020-07-31,0.0131334247991423,0.99273722004108,2468
"108","a-Amyrin",2020-07-31,0.00102873501546432,0.9744843575805,3480
"109","9H-Florenone",2020-07-31,0.000197952667710071,0.916720665358358,1776
"110","4-nitrocatechol",2020-07-31,0.000703590997558099,0.949133040294221,1770
"111","4-hydroxybenzoic acid",2020-07-31,0.0216923904411944,0.950344566144576,1651
"112","4-Bromodiphenylamine",2020-07-31,0.000465400413361814,0.989814968111973,1993
"113","4-Benzoylbenzoic acid",2020-07-31,0.000283648909741568,0.971686919469979,2242
"114","4, 4 dimethoxy-benzophenone",2020-07-31,0.000640773967633365,0.955881609641706,2292
"115","3-5-dimethoxyphenol",2020-07-31,0.0434911148993796,0.998921425753021,1525
"116","2-mercaptobenzothiazole",2020-07-31,0.0120798830807282,0.875996113838383,2000
"117","2-Ketoglutaric acid, tri-TMS",2020-07-31,0.0819780159901543,0.942742495080536,1629
"118","2-(methylmercapto)benzothiazole",2020-07-31,0.156720356665515,0.992032420448655,1637
"119","16-OH C16 Acid, TMS",2020-07-31,0.00264013040571207,0.971734395752863,2430
"120","12-OH C18 Acid, TMS",2020-07-31,0.00186931501242269,0.915408757915586,2471
"121","xanthone",2020-08-07,0.000834802637305472,0.957889180515737,1905
"122","vanillin",2020-08-07,0.0275564089845765,0.954774552881785,1557
"123","vanillic acid",2020-08-07,0.000239044396238971,0.943249977450773,1789
"124","tridecanal",2020-08-07,0.157032608592913,0.883339303349048,1537
"125","Tricarballylic acid",2020-08-07,0.000295809850902251,0.985501874624506,1757
"126","triacetin",2020-08-07,0.0109814509603353,0.817340860348286,1351
"127","trans ferulic acid",2020-08-07,0.000492506209945671,0.945438396506113,2124
"128","threitol",2020-08-07,0.0210000921713112,0.981684510269638,1521
"129","Tartaric acid, 4TMS",2020-08-07,0.000735293238821863,0.882858125470888,1659
"130","syringol",2020-08-07,0.0475336315596657,0.962581522680867,1418
"131","syringic acid",2020-08-07,0.000254192951915591,0.982422510481793,1926
"132","syringaldehyde",2020-08-07,0.00037816812855369,0.96709995512928,1725
