"","Compound.Name","File_num","LRI_avg","RI2"
"151","dC26","20200730_2327_10",2600,0.254324621135041
"152","dC26","20200731_0304_5",2600,0.243913733428107
"153","dC26","20200731_0453_.5",2601.73076923077,0.161651271948077
"154","dC26","20200731_0641_2.5",2601.7094017094,0.161962689695271
"155","dC26","20200731_0830_1",2601.76870748299,0.155255231014768
"156","dC26","20200806_2240_10",2600,0.15926371831473
"157","dC26","20200807_0218_5",2600,0.159215090473197
"158","dC26","20200807_0406_.5",2600,0.159188596527497
"159","dC26","20200807_0555_2.5",2600,0.159136011387278
"160","dC26","20200807_0744_1",2601.29449838188,0.0986814575964384
"161","dC28","20200730_2327_10",2800,0.233851672896295
"162","dC28","20200731_0304_5",2800,0.223426832102356
"163","dC28","20200731_0453_.5",2800,0.141145288429778
"164","dC28","20200731_0641_2.5",2800,0.141475579979833
"165","dC28","20200731_0830_1",2800,0.134976126956813
"166","dC28","20200806_2240_10",2800,0.14893837644548
"167","dC28","20200807_0218_5",2800,0.148888275032991
"168","dC28","20200807_0406_.5",2800,0.148860978240452
"169","dC28","20200807_0555_2.5",2800,0.148806799611135
"170","dC28","20200807_0744_1",2800,0.149048800719329
"171","dC30","20200730_2327_10",3001.4652014652,0.213378724657548
"172","dC30","20200731_0304_5",3001.11111111111,0.21318338143948
"173","dC30","20200731_0453_.5",3000,0.130892296670629
"174","dC30","20200731_0641_2.5",3000,0.120988470264394
"175","dC30","20200731_0830_1",3001.44927536232,0.124836574927836
"176","dC30","20200806_2240_10",3000,0.128287692706979
"177","dC30","20200807_0218_5",3000,0.138561459592784
"178","dC30","20200807_0406_.5",3000,0.138533359953406
"179","dC30","20200807_0555_2.5",3000,0.128148376058848
"180","dC30","20200807_0744_1",3000,0.138726706622839
"181","dC32","20200730_2327_10",3200,0.192905776418802
"182","dC32","20200731_0304_5",3200,0.192696480113729
"183","dC32","20200731_0453_.5",3200,0.100133321393182
"184","dC32","20200731_0641_2.5",3200,0.100501360548956
"185","dC32","20200731_0830_1",3200,0.0944179188409034
"186","dC32","20200806_2240_10",3200,0.107637008968477
"187","dC32","20200807_0218_5",3200,0.107581013272166
"188","dC32","20200807_0406_.5",3200,0.10755050509227
"189","dC32","20200807_0555_2.5",3200,0.107489952506562
"190","dC32","20200807_0744_1",3200,0.107760424333368
"191","dC34","20200730_2327_10",3400,0.172432828180055
"192","dC34","20200731_0304_5",3400,0.172209578787977
"193","dC34","20200731_0453_.5",3400,0.0796273378748834
"194","dC34","20200731_0641_2.5",3400,0.080014250833518
"195","dC34","20200731_0830_1",3400,0.0842783668119261
"196","dC34","20200806_2240_10",3400,0.0869863252299763
"197","dC34","20200807_0218_5",3400,0.0869273823917536
"198","dC34","20200807_0406_.5",3400,0.0868952685181787
"199","dC34","20200807_0555_2.5",3400,0.0971607407304191
"200","dC34","20200807_0744_1",3400,0.0974383302368776
"201","dC36","20200730_2327_10",3600,0.100777509344442
"202","dC36","20200731_0304_5",3600,0.100505424147847
"203","dC36","20200731_0453_.5",3600,0.00785639556083906
"204","dC36","20200731_0641_2.5",3600,0.00830936682948458
"205","dC36","20200731_0830_1",3600,0.0133015026090842
"206","dC36","20200806_2240_10",3600,0.0147089321452222
"207","dC36","20200807_0218_5",3600,0.0249664897505166
"208","dC36","20200807_0406_.5",3600,0.0249295587959056
"209","dC36","20200807_0555_2.5",3600,0.0145270465212743
"210","dC36","20200807_0744_1",3600,0.0148615774649551
"211","dibenzanthracene-d","20200730_2327_10",3266.66666666667,0.615775679011687
"212","dibenzanthracene-d","20200731_0304_5",3268.23529411765,0.616536122253453
"213","dibenzanthracene-d","20200731_0453_.5",3266.66666666667,0.699600035820455
"214","dibenzanthracene-d","20200731_0641_2.5",3265.88235294118,0.708739473210851
"215","dibenzanthracene-d","20200731_0830_1",3265.88235294118,0.696467139419335
"216","dibenzanthracene-d","20200806_2240_10",3266.66666666667,0.677088973094568
"217","dibenzanthracene-d","20200807_0218_5",3266.66666666667,0.677256960183502
"218","dibenzanthracene-d","20200807_0406_.5",3266.66666666667,0.667020866436145
"219","dibenzanthracene-d","20200807_0555_2.5",3266.66666666667,0.677530142480313
"220","dibenzanthracene-d","20200807_0744_1",3266.66666666667,0.666396632903406
"221","pentaerythritol-C13","20200730_2327_10",1526.13636363636,0.305506991731908
"222","pentaerythritol-C13","20200731_0304_5",1525.42372881356,0.305374437405361
"223","pentaerythritol-C13","20200731_0453_.5",1525.84269662921,0.212916230743823
"224","pentaerythritol-C13","20200731_0641_2.5",1525.71428571429,0.213180463983866
"225","pentaerythritol-C13","20200731_0830_1",1526.25698324022,0.205952991159655
"226","pentaerythritol-C13","20200806_2240_10",1526.13636363636,0.210890427660983
"227","pentaerythritol-C13","20200807_0218_5",1525.71428571429,0.210849167674228
"228","pentaerythritol-C13","20200807_0406_.5",1526.55367231638,0.210826687962725
"229","pentaerythritol-C13","20200807_0555_2.5",1525.28735632184,0.190123646715707
"230","pentaerythritol-C13","20200807_0744_1",1525.71428571429,0.210981365298271
"231","perylene-d","20200731_0304_5",2956.25,0.565318868939074
"232","perylene-d","20200731_0453_.5",2954.16666666667,0.63808208526556
"233","perylene-d","20200731_0641_2.5",2956.25,0.647278144064536
"234","perylene-d","20200731_0830_1",2956.70103092784,0.63562982724547
"235","perylene-d","20200807_0406_.5",2954.16666666667,0.615382775000917
"236","perylene-d","20200807_0555_2.5",2954.16666666667,0.625884083599598
"237","perylene-d","20200807_0744_1",2955.78947368421,0.604464068324464
